"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","15-Mar-2017","        361.10","        360.00","        366.15","        356.20","        362.20","        363.20","        361.76","    6660091","          2409358847.25","      58200","    3548789","         53.28"
"BHARTIARTL","EQ","16-Mar-2017","        363.20","        364.00","        365.60","        359.10","        360.60","        360.65","        360.71","    2407103","           868268433.60","      34944","     979900","         40.71"
"BHARTIARTL","EQ","17-Mar-2017","        360.65","        361.15","        363.00","        344.00","        344.60","        346.85","        350.41","    5748783","          2014422624.80","      67764","    3006068","         52.29"
"BHARTIARTL","EQ","20-Mar-2017","        346.85","        346.00","        352.30","        339.25","        349.50","        349.40","        346.31","    4270022","          1478767837.70","      42533","    1324600","         31.02"
"BHARTIARTL","EQ","21-Mar-2017","        349.40","        349.00","        351.80","        345.05","        351.50","        349.90","        348.16","    2263133","           787933426.25","      42231","    1124932","         49.71"
"BHARTIARTL","EQ","22-Mar-2017","        349.90","        347.00","        348.50","        325.80","        338.00","        338.20","        338.83","    8071204","          2734797959.75","      90749","    4917086","         60.92"
"BHARTIARTL","EQ","23-Mar-2017","        338.20","        338.80","        341.70","        335.55","        338.05","        338.50","        338.45","    4291861","          1452573864.85","      80547","    3037352","         70.77"
"BHARTIARTL","EQ","24-Mar-2017","        338.50","        341.40","        347.70","        338.20","        339.05","        340.50","        341.99","    4784560","          1636274016.95","      70967","    2236447","         46.74"
"BHARTIARTL","EQ","27-Mar-2017","        340.50","        340.00","        341.85","        335.15","        339.65","        338.70","        338.52","    2895389","           980142628.85","      37776","    1689697","         58.36"
"BHARTIARTL","EQ","28-Mar-2017","        338.70","        340.90","        343.50","        338.60","        340.00","        340.75","        341.04","    2087407","           711891734.75","      37168","    1139023","         54.57"
"BHARTIARTL","EQ","29-Mar-2017","        340.75","        342.50","        346.40","        341.20","        345.60","        344.85","        343.38","    8855391","          3040765113.85","      55484","    7207668","         81.39"
"BHARTIARTL","EQ","30-Mar-2017","        344.85","        344.85","        352.40","        342.20","        347.70","        351.20","        349.03","    3916104","          1366820997.80","      42223","    2601698","         66.44"
"BHARTIARTL","EQ","31-Mar-2017","        351.20","        350.00","        352.30","        345.00","        348.25","        350.05","        347.96","    5215911","          1814949025.90","      57122","    3579248","         68.62"
"BHARTIARTL","EQ","03-Apr-2017","        350.05","        346.00","        346.00","        336.25","        342.00","        341.80","        340.11","    6609750","          2248026144.55","      54245","    3998722","         60.50"
"BHARTIARTL","EQ","05-Apr-2017","        341.80","        342.95","        347.25","        339.10","        343.15","        344.50","        343.74","    4230271","          1454117677.70","      84736","    2596540","         61.38"
"BHARTIARTL","EQ","06-Apr-2017","        344.50","        343.00","        343.00","        337.60","        341.60","        341.80","        340.93","    2174170","           741239067.75","      29305","     845228","         38.88"
"BHARTIARTL","EQ","07-Apr-2017","        341.80","        344.05","        350.45","        341.75","        344.85","        344.70","        348.05","    5720486","          1991025745.90","      33227","    3220944","         56.31"
"BHARTIARTL","EQ","10-Apr-2017","        344.70","        348.30","        348.40","        342.05","        345.20","        345.70","        345.40","    1381119","           477038977.40","      24715","     592569","         42.90"
"BHARTIARTL","EQ","11-Apr-2017","        345.70","        343.00","        355.75","        342.85","        350.70","        350.20","        350.07","    2097727","           734352786.65","      32823","    1084689","         51.71"
"BHARTIARTL","EQ","12-Apr-2017","        350.20","        347.00","        353.90","        345.35","        352.30","        350.80","        350.00","    2279495","           797825212.60","      33843","    1125534","         49.38"
"BHARTIARTL","EQ","13-Apr-2017","        350.80","        350.00","        353.50","        339.25","        341.90","        340.25","        342.89","    5907728","          2025686027.45","      25968","    2983609","         50.50"
"BHARTIARTL","EQ","17-Apr-2017","        340.25","        342.80","        343.30","        338.40","        340.55","        341.30","        340.65","    1882937","           641413141.65","      21300","     548659","         29.14"
"BHARTIARTL","EQ","18-Apr-2017","        341.30","        340.00","        343.35","        336.30","        339.30","        338.80","        339.56","    5561549","          1888456043.00","      48841","    3129213","         56.27"
"BHARTIARTL","EQ","19-Apr-2017","        338.80","        339.40","        341.75","        332.75","        341.00","        339.95","        337.36","    2504964","           845080005.85","      37123","    1515310","         60.49"
"BHARTIARTL","EQ","20-Apr-2017","        339.95","        342.00","        343.80","        338.05","        341.55","        342.75","        341.09","    1890096","           644694003.25","      24442","    1187548","         62.83"
"BHARTIARTL","EQ","21-Apr-2017","        342.75","        342.00","        346.00","        340.30","        342.00","        342.80","        343.35","    1352040","           464217602.35","      27997","     478579","         35.40"
"BHARTIARTL","EQ","24-Apr-2017","        342.80","        344.00","        346.45","        338.65","        346.00","        344.65","        342.25","    1340716","           458863008.10","      20441","     660817","         49.29"
"BHARTIARTL","EQ","25-Apr-2017","        344.65","        343.00","        359.80","        341.40","        353.35","        353.95","        352.14","    4278330","          1506560118.50","      49392","    1944747","         45.46"
"BHARTIARTL","EQ","26-Apr-2017","        353.95","        353.95","        360.00","        352.00","        356.45","        357.55","        356.91","    2949212","          1052591344.65","      39805","    1740873","         59.03"
"BHARTIARTL","EQ","27-Apr-2017","        357.55","        354.25","        361.95","        353.75","        355.00","        357.90","        358.00","    4486798","          1606253802.85","      40286","    2836392","         63.22"
"BHARTIARTL","EQ","28-Apr-2017","        357.90","        355.30","        357.90","        350.50","        355.00","        355.50","        354.59","    2690876","           954167364.75","      39219","    1729174","         64.26"
"BHARTIARTL","EQ","02-May-2017","        355.50","        355.50","        355.95","        346.70","        348.00","        347.60","        349.24","    2195524","           766756927.05","      45431","    1281422","         58.37"
"BHARTIARTL","EQ","03-May-2017","        347.60","        348.10","        350.00","        343.85","        346.55","        346.35","        347.21","    2358454","           818890363.00","      58903","    1528716","         64.82"
"BHARTIARTL","EQ","04-May-2017","        346.35","        346.70","        351.40","        343.70","        345.90","        346.00","        347.08","    1213003","           421005298.75","      18765","     503647","         41.52"
"BHARTIARTL","EQ","05-May-2017","        346.00","        346.45","        349.00","        343.15","        344.50","        344.75","        345.47","    1539822","           531965483.50","      15597","     798896","         51.88"
"BHARTIARTL","EQ","08-May-2017","        344.75","        344.75","        355.25","        344.30","        352.30","        351.30","        351.06","    2664070","           935246768.70","      20779","    1179363","         44.27"
"BHARTIARTL","EQ","09-May-2017","        351.30","        350.00","        351.00","        343.60","        345.70","        345.25","        346.81","    2817923","           977280815.65","      38928","    1184809","         42.05"
"BHARTIARTL","EQ","10-May-2017","        345.25","        336.50","        380.40","        336.50","        372.80","        372.75","        363.50","   24411321","          8873508071.10","     172771","    7345796","         30.09"
"BHARTIARTL","EQ","11-May-2017","        372.75","        370.00","        370.85","        362.45","        363.90","        366.00","        366.00","    7263857","          2658586705.75","     138683","    3306145","         45.52"
